,logl,unrestricted.logl,baseline.logl,nvar,nobs,npar,df,objective,chisq,pvalue,baseline.chisq,baseline.df,baseline.pvalue,nfi,pnfi,tli,nnfi,rfi,ifi,rni,cfi,rmsea,rmsea.ci.lower,rmsea.ci.upper,rmsea.pvalue,aic.ll,aic.ll2,aic.x,aic.x2,bic,bic2,ebic.25,ebic.5,ebic.75,ebic1
df2.stepup configural,-1071208.967,-1063208.621,-1209347.475,66,4554,752,3802,34.05859101,16000.69163,0,292277.7066,4290,0,0.945255176,0.837729645,0.952204778,0.952204778,0.938228486,0.957713279,0.957641624,0.957641624,0.0201516,0.019829497,0.020474785,1,2143921.934,2143997.189,8396.691631,17504.69163,2149688.189,2147298.388,2152838.809,2155989.43,2158509.926,2162290.67
df3.stepup configural,-1099794.254,-1091680.947,-1235941.353,66,4554,724,3830,37.71630059,16226.61384,0,288520.8123,4290,0,0.943759295,0.84256366,0.95114709,0.95114709,0.937004537,0.95645587,0.956385398,0.956385398,0.020240028,0.019919292,0.020561839,1,2201036.507,2201106.136,8566.61384,17674.61384,2206588.061,2204287.241,2209621.371,2212654.681,2215081.329,2218721.301
df4.stepup configural,-1095598.948,-1087623.892,-1229307.523,66,4554,770,3784,37.18054784,15950.11052,0,283367.262,4290,0,0.943712233,0.832402585,0.950576503,0.950576503,0.93618538,0.95648484,0.956405941,0.956405941,0.02017248,0.019849658,0.020496389,1,2192737.895,2192816.888,8382.11052,17490.11052,2198642.172,2196195.168,2201868.206,2205094.24,2207675.067,2211546.308
df5.stepup configural,-1081247.056,-1073452.133,-1215893.345,66,4554,724,3830,35.42467841,15589.84743,0,284882.4251,4290,0,0.945276205,0.843917917,0.953055549,0.953055549,0.938703634,0.958157815,0.95808922,0.95808922,0.01971335,0.01939145,0.020036321,1,2163942.113,2164011.742,7929.847432,17037.84743,2169493.666,2167192.847,2172526.976,2175560.286,2177986.934,2181626.906
df6.stepup configural,-1077092.332,-1069227.144,-1209259.516,66,4554,738,3816,34.89406199,15730.3763,0,280064.7428,4290,0,0.943833072,0.839549418,0.951430263,0.951430263,0.936856362,0.95687084,0.95679671,0.95679671,0.019878813,0.0195567,0.020202002,1,2155660.665,2155733.078,8098.376302,17206.3763,2161319.569,2158974.259,2164411.534,2167503.499,2169977.072,2173687.43
df7.stepup configural,-1105386.238,-1097483.412,-1235853.394,66,4554,732,3822,38.5148926,15805.65136,0,276739.9628,4290,0,0.942886271,0.84002595,0.95062933,0.95062933,0.935892753,0.956090646,0.956015221,0.956015221,0.019920866,0.019599099,0.020243707,1,2212236.476,2212307.689,8161.651356,17269.65136,2217849.373,2215523.13,2220916.2,2223983.027,2226436.489,2230116.682
df8.stepup configural,-1101474.711,-1093418.882,-1229219.564,66,4554,738,3816,38.01505668,16111.65762,0,271601.3645,4290,0,0.940679025,0.83674386,0.948288961,0.948288961,0.93331054,0.954083907,0.954002488,0.954002488,0.020194387,0.019872966,0.020516886,1,2204425.422,2204497.835,8479.657617,17587.65762,2210084.326,2207739.016,2213176.291,2216268.256,2218741.829,2222452.187
df9.stepup configural,-1072965.037,-1065244.156,-1212911.692,66,4554,728,3826,34.40134388,15441.76215,0,295335.0712,4290,0,0.947714431,0.845211052,0.955249305,0.955249305,0.941373474,0.960152999,0.960089473,0.960089473,0.019602449,0.019280125,0.019925845,1,2147386.075,2147456.493,7789.762146,16897.76215,2152968.3,2150654.769,2156018.368,2159068.437,2161508.492,2165168.574
df10.stepup configural,-1068620.173,-1061062.652,-1206277.862,66,4554,766,3788,33.84666215,15115.04199,0,290430.4199,4290,0,0.947956409,0.837030041,0.95516836,0.95516836,0.941059397,0.96048372,0.960414394,0.960414394,0.019454149,0.019129863,0.019779516,1,2138772.347,2138850.501,7539.041989,16647.04199,2144645.952,2142211.66,2147855.227,2151064.503,2153631.923,2157483.054
df11.stepup configural,-1097126.77,-1089407.161,-1232871.741,66,4554,734,3820,37.4944122,15439.21771,0,286929.1596,4290,0,0.946191535,0.842529525,0.953832274,0.953832274,0.939571122,0.958958524,0.958890276,0.958890276,0.019620756,0.019298221,0.019944363,1,2195721.539,2195793.151,7799.217707,16907.21771,2201349.772,2199017.173,2204424.978,2207500.185,2209960.35,2213650.598
df13.stepup configural,-1077548.249,-1069838.608,-1212823.733,66,4554,720,3834,35.07225927,15419.28257,0,285970.2506,4290,0,0.946080816,0.84551838,0.953979067,0.953979067,0.939667893,0.958937277,0.958870803,0.958870803,0.019556279,0.019234183,0.019879444,1,2156536.498,2156605.342,7751.282568,16859.28257,2162057.38,2159769.272,2165073.931,2168090.483,2170503.724,2174123.585
df12.stepup configural,-1092311.7,-1085391.46,-1226237.911,66,4554,792,3762,36.88021833,13840.47966,0,281692.9011,4290,0,0.950866779,0.833837021,0.958569276,0.958569276,0.943970888,0.963737463,0.963668442,0.963668442,0.018413955,0.018085841,0.018743137,1,2186207.401,2186291.091,6316.479656,15424.47966,2192280.371,2189763.453,2195598.577,2198916.784,2201571.349,2205553.197
df14.stepup configural,-1073044.136,-1065653.738,-1206189.903,66,4554,758,3796,34.49742196,14780.79435,0,281072.3298,4290,0,0.947412844,0.83831682,0.955147706,0.955147706,0.94056931,0.960383224,0.960312516,0.960312516,0.019137792,0.018813071,0.019463587,1,2147604.271,2147680.762,7188.794352,16296.79435,2153416.533,2151007.664,2156592.292,2159768.05,2162308.656,2166119.566
df15.stepup configural,-1100591.206,-1093768.535,-1232783.781,66,4554,788,3766,38.02372847,13645.3426,0,278030.4927,4290,0,0.950921417,0.834771575,0.958888249,0.958888249,0.944092639,0.963978776,0.963909824,0.963909824,0.018221446,0.017892955,0.018550998,1,2202758.413,2202841.239,6113.342602,15221.3426,2208800.712,2206296.505,2212102.16,2215403.607,2218044.766,2222006.503
df16.stepup configural,-1096275.845,-1089751.341,-1226149.952,66,4554,824,3730,37.47278073,13049.00858,0,272797.2231,4290,0,0.952165904,0.827873851,0.960082604,0.960082604,0.944984377,0.965365501,0.965293267,0.965293267,0.01778236,0.017450962,0.018114815,1,2194199.69,2194290.469,5589.008583,14697.00858,2200518.032,2197899.42,2203970.308,2207422.583,2210184.404,2214327.134
df1.pruned constrained,-1076389.018,-1067425.309,-1215981.304,66,4554,430,4124,34.71897922,17927.41765,0,297111.99,4290,0,0.939661076,0.903301231,0.950963262,0.950963262,0.937232303,0.952887428,0.95286072,0.95286072,0.020582255,0.020273828,0.020891681,1,2153638.036,2153662.15,9679.417649,18787.41765,2156935.229,2155568.721,2158736.781,2160538.332,2161979.574,2164141.435
df2.pruned constrained,-1072259.866,-1063208.621,-1209347.475,66,4554,441,4113,34.19159936,18102.48958,0,292277.7066,4290,0,0.938064077,0.899360734,0.949332847,0.949332847,0.935398709,0.951453147,0.95142331,0.95142331,0.020748206,0.020439688,0.021057725,1,2145401.732,2145427.113,9876.489579,18984.48958,2148783.273,2147381.807,2150630.91,2152478.548,2153956.658,2156173.824
df3.pruned constrained,-1101121.487,-1091680.947,-1235941.353,66,4554,424,4130,37.88428355,18881.08059,0,288520.8123,4290,0,0.934559034,0.899703686,0.946091168,0.946091168,0.932023791,0.948130952,0.948101754,0.948101754,0.021261596,0.020954656,0.021569532,1,2203090.974,2203114.412,10621.08059,19729.08059,2206342.16,2204994.719,2208118.574,2209894.987,2211316.118,2213447.814
df4.pruned constrained,-1096654.212,-1087623.892,-1229307.523,66,4554,451,4103,37.3141087,18060.63916,0,283367.262,4290,0,0.9362642,0.895452684,0.947707032,0.947707032,0.933359351,0.950019959,0.949986469,0.949986469,0.020749813,0.020440923,0.021059707,1,2194210.424,2194236.984,9854.639162,18962.63916,2197668.643,2196235.398,2199558.177,2201447.712,2202959.339,2205226.78
df5.pruned constrained,-1082354.545,-1073452.133,-1215893.345,66,4554,427,4127,35.56484917,17804.8258,0,284882.4251,4290,0,0.937501144,0.901880471,0.949328478,0.949328478,0.935032689,0.951282061,0.95125376,0.95125376,0.020480958,0.020172444,0.02079047,1,2165563.091,2165586.866,9550.825803,18658.8258,2168837.281,2167480.306,2170626.263,2172415.246,2173846.432,2175993.211
df6.pruned constrained,-1078138.524,-1069227.144,-1209259.516,66,4554,434,4120,35.02647457,17822.75992,0,280064.7428,4290,0,0.936362001,0.899256747,0.948261523,0.948261523,0.933736161,0.950342377,0.950311766,0.950311766,0.020517025,0.02020832,0.020826729,1,2157145.048,2157169.619,9582.759919,18690.75992,2160472.913,2159093.693,2162291.224,2164109.534,2165564.182,2167746.154
df7.pruned constrained,-1106546.433,-1097483.412,-1235853.394,66,4554,430,4124,38.66173417,18126.04182,0,276739.9628,4290,0,0.934501538,0.898341339,0.94653824,0.94653824,0.931865082,0.948638217,0.948606923,0.948606923,0.02072981,0.020421668,0.021038951,1,2213952.867,2213976.981,9878.041824,18986.04182,2217250.06,2215883.551,2219051.612,2220853.163,2222294.404,2224456.266
df8.pruned constrained,-1102670.755,-1093418.882,-1229219.564,66,4554,433,4121,38.16643554,18503.7464,0,271601.3645,4290,0,0.931871674,0.895161577,0.943988258,0.943988258,0.929077768,0.946228777,0.946194781,0.946194781,0.02101738,0.020709664,0.021326094,1,2206207.511,2206231.967,10261.7464,19369.7464,2209527.708,2208151.665,2211341.828,2213155.949,2214607.245,2216784.19
df9.pruned constrained,-1073941.067,-1065244.156,-1212911.692,66,4554,430,4124,34.52487626,17393.82082,0,295335.0712,4290,0,0.941104791,0.904689081,0.952571057,0.952571057,0.93873413,0.954432293,0.954406303,0.954406303,0.020180512,0.019871278,0.020490743,1,2148742.133,2148766.247,9145.820821,18253.82082,2152039.327,2150672.818,2153840.878,2155642.43,2157083.671,2159245.533
df10.pruned constrained,-1069733.513,-1061062.652,-1206277.862,66,4554,448,4106,33.98757342,17341.72178,0,290430.4199,4290,0,0.940289582,0.899960145,0.951671116,0.951671116,0.937613811,0.953773689,0.953743963,0.953743963,0.020198695,0.019888823,0.020509569,1,2140363.027,2140389.23,9129.721776,18237.72178,2143798.242,2142374.531,2145675.207,2147552.173,2149053.745,2151306.103
df11.pruned constrained,-1098393.634,-1089407.161,-1232871.741,66,4554,431,4123,37.65475453,17972.94721,0,286929.1596,4290,0,0.937361029,0.900871684,0.949012967,0.949012967,0.93482387,0.951026713,0.950997777,0.950997777,0.020619416,0.020311024,0.020928807,1,2197649.269,2197673.497,9726.947213,18834.94721,2200954.13,2199584.443,2202759.871,2204565.612,2206010.205,2208177.095
df12.pruned constrained,-1094062.077,-1085391.46,-1226237.911,66,4554,448,4106,37.10175697,17341.23321,0,281692.9011,4290,0,0.938439225,0.898189151,0.950150714,0.950150714,0.935680535,0.952320397,0.952288771,0.952288771,0.020198322,0.019888449,0.020509197,1,2189020.154,2189046.358,9129.233207,18237.23321,2192455.37,2191031.658,2194332.335,2196209.3,2197710.873,2199963.231
df13.pruned constrained,-1078651.521,-1069838.608,-1212823.733,66,4554,424,4130,35.21189627,17625.82643,0,285970.2506,4290,0,0.938364825,0.903367536,0.950231984,0.950231984,0.935977022,0.952115333,0.952088134,0.952088134,0.02033685,0.02002816,0.020646537,1,2158151.041,2158174.479,9365.826426,18473.82643,2161402.228,2160054.786,2163178.641,2164955.055,2166376.186,2168507.882
df14.pruned constrained,-1074386.154,-1065653.738,-1206189.903,66,4554,440,4114,34.66727624,17464.83172,0,281072.3298,4290,0,0.937863568,0.899387114,0.949700581,0.949700581,0.935205325,0.9517948,0.951764147,0.951764147,0.020266604,0.019957172,0.020577036,1,2149652.309,2149677.573,9236.831721,18344.83172,2153026.181,2151627.893,2154869.629,2156713.077,2158187.836,2160399.973
df15.pruned constrained,-1102260.084,-1093768.535,-1232783.781,66,4554,448,4106,38.23495211,16983.09861,0,278030.4927,4290,0,0.938916417,0.898645876,0.950850701,0.950850701,0.936179111,0.952990335,0.952958737,0.952958737,0.019923173,0.01961272,0.020234627,1,2205416.169,2205442.372,8771.098605,17879.09861,2208851.384,2207427.673,2210728.35,2212605.315,2214106.887,2216359.246
df16.pruned constrained,-1098542.011,-1089751.341,-1226149.952,66,4554,439,4115,37.75960097,17581.34197,0,272797.2231,4290,0,0.935551609,0.897388082,0.947714518,0.947714518,0.932810791,0.949880041,0.949847375,0.949847375,0.020351615,0.020042393,0.020661837,1,2197962.023,2197987.171,9351.341967,18459.34197,2201328.227,2199933.117,2203167.486,2205006.744,2206478.151,2208685.261
df1.stepup constrained,-1076339.727,-1067425.309,-1215981.304,66,4554,431,4123,34.7127407,17828.83664,0,297111.99,4290,0,0.939992874,0.903401077,0.951298109,0.951298109,0.937562316,0.953220643,0.953193964,0.953193964,0.020511862,0.020203259,0.020821463,1,2153541.455,2153565.683,9582.836641,18690.83664,2156846.316,2155476.63,2158652.057,2160457.799,2161902.392,2164069.281
df2.stepup constrained,-1072209.164,-1063208.621,-1209347.475,66,4554,442,4112,34.18518212,18001.08425,0,292277.7066,4290,0,0.938411025,0.899474624,0.949684262,0.949684262,0.935744966,0.951801745,0.951771954,0.951771954,0.020676128,0.020367435,0.020985824,1,2145302.327,2145327.824,9777.084251,18885.08425,2148691.535,2147286.891,2150543.363,2152395.19,2153876.652,2156098.845
df3.stepup constrained,-1100804.085,-1091680.947,-1235941.353,66,4554,428,4126,37.84411119,18246.27688,0,288520.8123,4290,0,0.936759235,0.900948392,0.948346456,0.948346456,0.934245545,0.950349738,0.95032109,0.95032109,0.020812103,0.020504192,0.021121012,1,2202464.17,2202488.058,9994.276882,19102.27688,2205746.028,2204385.875,2207539.2,2209332.372,2210766.91,2212918.717
df4.stepup constrained,-1096654.212,-1087623.892,-1229307.523,66,4554,451,4103,37.3141087,18060.63916,0,283367.262,4290,0,0.9362642,0.895452684,0.947707032,0.947707032,0.933359351,0.950019959,0.949986469,0.949986469,0.020749813,0.020440923,0.021059707,1,2194210.424,2194236.984,9854.639162,18962.63916,2197668.643,2196235.398,2199558.177,2201447.712,2202959.339,2205226.78
df5.stepup constrained,-1082225.675,-1073452.133,-1215893.345,66,4554,428,4126,35.54853848,17547.08426,0,284882.4251,4290,0,0.938405873,0.902532082,0.950267564,0.950267564,0.935957633,0.952196698,0.952168758,0.952168758,0.020290286,0.019981352,0.020600217,1,2165307.349,2165331.237,9295.084264,18403.08426,2168589.207,2167229.054,2170382.379,2172175.552,2173610.089,2175761.896
df6.stepup constrained,-1078091.107,-1069227.144,-1209259.516,66,4554,435,4119,35.02047316,17727.92552,0,280064.7428,4290,0,0.936700617,0.899363599,0.948603346,0.948603346,0.934072747,0.950682604,0.950652024,0.950652024,0.020449137,0.020140261,0.020759013,1,2157052.214,2157076.9,9489.925519,18597.92552,2160387.747,2159005.349,2162210.247,2164032.747,2165490.746,2167677.746
df7.stepup constrained,-1106400.012,-1097483.412,-1235853.394,66,4554,432,4122,38.64320213,17833.19853,0,276739.9628,4290,0,0.935559728,0.898922424,0.947623319,0.947623319,0.932933341,0.949705447,0.949674434,0.949674434,0.020518362,0.020209735,0.020827988,1,2213664.023,2213688.365,9589.198528,18697.19853,2216976.553,2215603.688,2218786.483,2220596.414,2222044.359,2224216.276
df8.stepup constrained,-1102488.436,-1093418.882,-1229219.564,66,4554,435,4119,38.14336002,18139.10706,0,271601.3645,4290,0,0.933214227,0.896016177,0.945373999,0.945373999,0.93044162,0.947584929,0.947551399,0.947551399,0.020755765,0.020447485,0.021065044,1,2205846.871,2205871.557,9901.107062,19009.10706,2209182.404,2207800.006,2211004.904,2212827.404,2214285.404,2216472.403
df9.stepup constrained,-1073941.067,-1065244.156,-1212911.692,66,4554,430,4124,34.52487626,17393.82082,0,295335.0712,4290,0,0.941104791,0.904689081,0.952571057,0.952571057,0.93873413,0.954432293,0.954406303,0.954406303,0.020180512,0.019871278,0.020490743,1,2148742.133,2148766.247,9145.820821,18253.82082,2152039.327,2150672.818,2153840.878,2155642.43,2157083.671,2159245.533
df10.stepup constrained,-1069611.321,-1061062.652,-1206277.862,66,4554,449,4105,33.97210805,17097.33812,0,290430.4199,4290,0,0.941131035,0.900546131,0.95254825,0.95254825,0.938477988,0.954623875,0.954594537,0.954594537,0.02001456,0.019704265,0.020325857,1,2140120.643,2140146.965,8887.338123,17995.33812,2143563.526,2142136.637,2145444.681,2147325.836,2148830.76,2151088.146
df11.stepup constrained,-1098118.877,-1089407.161,-1232871.741,66,4554,433,4121,37.61997947,17423.4317,0,286929.1596,4290,0,0.93927619,0.902274401,0.951004817,0.951004817,0.936785939,0.952963056,0.95293493,0.95293493,0.020212647,0.019903367,0.020522925,1,2197103.753,2197128.209,9181.431702,18289.4317,2200423.95,2199047.908,2202238.071,2204052.191,2205503.488,2207680.432
df12.stepup constrained,-1093366.791,-1085391.46,-1226237.911,66,4554,462,4092,37.01375724,15950.66145,0,281692.9011,4290,0,0.943375707,0.899835289,0.955182633,0.955182633,0.940635822,0.957281618,0.957251127,0.957251127,0.019151773,0.018839032,0.019465511,1,2187657.582,2187685.473,7766.661455,16874.66145,2191200.148,2189731.946,2193135.769,2195071.389,2196619.886,2198942.63
df13.stepup constrained,-1078515.154,-1069838.608,-1212823.733,66,4554,426,4128,35.19463683,17353.09267,0,285970.2506,4290,0,0.939318539,0.903847769,0.951206729,0.951206729,0.936937144,0.953076259,0.953049273,0.953049273,0.020136709,0.019827534,0.02044688,1,2157882.308,2157905.97,9097.092668,18205.09267,2161148.83,2159795.033,2162933.623,2164718.415,2166146.25,2168288.001
df14.stepup constrained,-1074017.993,-1065653.738,-1206189.903,66,4554,445,4109,34.62067943,16728.50898,0,281072.3298,4290,0,0.940483259,0.900803196,0.952397995,0.952397995,0.937861568,0.954436174,0.954406378,0.954406378,0.019715697,0.019404905,0.020027487,1,2148925.986,2148951.835,8510.508979,17618.50898,2152338.198,2150924.02,2154202.594,2156066.99,2157558.508,2159795.783
df15.stepup constrained,-1101624.074,-1093768.535,-1232783.781,66,4554,460,4094,38.15445464,15711.07763,0,278030.4927,4290,0,0.94349153,0.900385624,0.955529982,0.955529982,0.940786191,0.957592077,0.957561713,0.957561713,0.01895106,0.018637902,0.019265209,1,2204168.148,2204195.794,7523.077626,16631.07763,2207695.378,2206233.532,2209622.619,2211549.86,2213091.653,2215404.343
df16.stepup constrained,-1097347.378,-1089751.341,-1226149.952,66,4554,478,4076,37.60840072,15192.07562,0,272797.2231,4290,0,0.944310006,0.897204565,0.956426882,0.956426882,0.941386145,0.958633429,0.95860046,0.95860046,0.018578799,0.018263997,0.01889459,1,2195650.757,2195680.641,7040.075619,16148.07562,2199316.009,2197796.96,2201318.664,2203321.319,2204923.443,2207326.629
