,logl,unrestricted.logl,baseline.logl,nvar,nobs,npar,df,objective,chisq,pvalue,baseline.chisq,baseline.df,baseline.pvalue,nfi,pnfi,tli,nnfi,rfi,ifi,rni,cfi,rmsea,rmsea.ci.lower,rmsea.ci.upper,rmsea.pvalue,aic.ll,aic.ll2,aic.x,aic.x2,bic,bic2,ebic.25,ebic.5,ebic.75,ebic1
df5.pruned,-1086879.531,-1080284.986,-1224721.584,66,2277,361,1916,35.94879885,13189.08929,0,288873.1966,2145,0,0.95434298,0.852457413,0.955984632,0.955984632,0.948886061,0.960715084,0.960683709,0.960683709,0.019271034,0.018960763,0.019582697,1,2174481.061,2174497.944,9357.089292,13911.08929,2177250.106,2176102.874,2178762.571,2180275.037,2181485.009,2183299.967
df6.pruned,-1082718.629,-1075983.787,-1218089.704,66,2277,368,1909,35.41889175,13469.68383,0,284211.8327,2145,0,0.952606886,0.847797923,0.953947536,0.953947536,0.946747915,0.959048644,0.959014381,0.959014381,0.01955105,0.019240554,0.019862933,1,2166173.258,2166190.809,9651.683834,14205.68383,2168995.996,2167826.519,2170537.789,2172079.582,2173313.016,2175163.168
df7.pruned,-1111173.096,-1104371.276,-1244606.65,66,2277,364,1913,39.05131713,13603.64134,0,280470.7491,2145,0,0.951497112,0.848584604,0.952902563,0.952902563,0.945614901,0.958031534,0.957996551,0.957996551,0.019640067,0.01933,0.019951515,1,2223074.193,2223091.36,9777.641344,14331.64134,2225866.248,2224709.483,2227391.283,2228916.317,2230136.344,2231966.386
df8.pruned,-1107252.263,-1100242.512,-1237974.769,66,2277,367,1910,38.55171592,14019.50155,0,275464.5148,2145,0,0.949105962,0.845124656,0.950243531,0.950243531,0.94284413,0.955732767,0.955694706,0.955694706,0.020004502,0.01969461,0.020315762,1,2215238.526,2215255.98,10199.50155,14753.50155,2218053.593,2216887.293,2219591.196,2221128.799,2222358.882,2224204.006
df9.pruned,-1078293.305,-1071940.385,-1221832.677,66,2277,364,1913,34.88970994,12705.84037,0,299784.5835,2145,0,0.957616765,0.854042365,0.959340935,0.959340935,0.952476718,0.963766801,0.963738558,0.963738558,0.018870859,0.018559832,0.019183297,1,2157314.61,2157331.778,8879.840374,13433.84037,2160106.666,2158949.9,2161631.7,2163156.735,2164376.762,2166206.803
df10.pruned,-1074079.953,-1067684.787,-1215200.796,66,2277,382,1895,34.35318156,12790.33317,0,295032.0189,2145,0,0.956647644,0.845150249,0.957892595,0.957892595,0.950928336,0.962831944,0.962800218,0.962800218,0.019050086,0.018737823,0.019363765,1,2148923.906,2148942.833,9000.333174,13554.33317,2151854.031,2150640.062,2153454.479,2155054.927,2156335.285,2158255.823
df11.pruned,-1102797.357,-1096155.815,-1241717.742,66,2277,365,1912,38.01879981,13283.08538,0,291123.8554,2145,0,0.954373078,0.850704581,0.955855636,0.955855636,0.948812894,0.960682506,0.960650805,0.960650805,0.019374848,0.019064382,0.019686706,1,2206324.715,2206341.978,9459.085377,14013.08538,2209124.441,2207964.498,2210653.665,2212182.889,2213406.268,2215241.337
df12.pruned,-1098447.799,-1092075.859,-1235085.862,66,2277,382,1895,37.46507691,12743.87934,0,286020.0047,2145,0,0.955444098,0.844086977,0.956741067,0.956741067,0.949566011,0.961816527,0.9617829,0.9617829,0.019009431,0.018697116,0.019323165,1,2197659.598,2197678.525,8953.879336,13507.87934,2200589.723,2199375.754,2202190.171,2203790.619,2205070.977,2206991.515
df13.pruned,-1083189.339,-1076605.783,-1221686.541,66,2277,358,1919,35.59907538,13167.1126,0,290161.5175,2145,0,0.954621437,0.854041277,0.956346951,0.956346951,0.949277219,0.960976914,0.960946293,0.960946293,0.019234621,0.018924547,0.019546087,1,2167094.678,2167111.278,9329.112602,13883.1126,2169840.711,2168703.012,2171340.607,2172840.503,2174040.42,2175840.296
df14.pruned,-1078916.949,-1072341.258,-1215054.66,66,2277,374,1903,35.05509412,13151.38196,0,285426.8054,2145,0,0.953923802,0.84630163,0.955243112,0.955243112,0.948064401,0.960326499,0.960292607,0.960292607,0.019315543,0.019004272,0.019628215,1,2158581.898,2158600.032,9345.381964,13899.38196,2161450.658,2160262.113,2163017.589,2164584.52,2165838.065,2167718.382
df15.pruned,-1106724.507,-1100580.5,-1241571.607,66,2277,382,1895,38.60585451,12288.01277,0,281982.2135,2145,0,0.956422738,0.844951556,0.957960836,0.957960836,0.950673759,0.962893655,0.962860505,0.962860505,0.01860576,0.018292901,0.018920052,1,2214213.013,2214231.94,8498.012771,13052.01277,2217143.138,2215929.169,2218743.586,2220344.034,2221624.392,2223544.93
